object_name,original_resolution_width,original_resolution_height,effective_resolution_width,effective_resolution_height,mAP,degradation_factor,GSD,pixels_on_target,knee
Tugboat,640,640,192,192,0.15043427327114545,0.3,1.0,411,False
Fishing Vessel,640,640,192,192,0.017198014641498775,0.3,1.0,241,False
Ferry,640,640,192,192,0.12073518683295319,0.3,1.0,929,False
Yacht,640,640,192,192,0.1461960018143494,0.3,1.0,289,False
Container Ship,640,640,192,192,0.05402497929606624,0.3,1.0,4228,False
Oil Tanker,640,640,192,192,0.0995,0.3,1.0,3808,False
Engineering Vehicle,640,640,192,192,0.008584933840155946,0.3,1.0,160,False
Tower crane,640,640,192,192,0.0,0.3,1.0,1356,False
Container Crane,640,640,192,192,0.0,0.3,1.0,1980,False
Reach Stacker,640,640,192,192,0.0,0.3,1.0,100,False
Mobile Crane,640,640,192,192,0.02019261910669975,0.3,1.0,557,False
Dump Truck,640,640,192,192,0.02240693965558488,0.3,1.0,53,False
Haul Truck,640,640,192,192,0.0,0.3,1.0,190,False
Scraper/Tractor,640,640,192,192,0.0,0.3,1.0,60,False
Front loader/Bulldozer,640,640,192,192,0.025024778039325492,0.3,1.0,50,False
Excavator,640,640,192,192,0.1124308661466181,0.3,1.0,69,False
Cement Mixer,640,640,192,192,0.0026577390142012046,0.3,1.0,50,False
Ground Grader,640,640,192,192,0.006079556753519018,0.3,1.0,56,False
Hut/Tent,640,640,192,192,0.0007786804464603009,0.3,1.0,104,False
Shipping Container,640,640,192,192,0.02222332234889663,0.3,1.0,65,False
Fixed-wing Aircraft,640,640,224,224,0.1938375177530472,0.35,0.8571428571428572,432,False
Small Aircraft,640,640,224,224,0.2056519336563171,0.35,0.8571428571428572,195,False
Cargo Plane,640,640,224,224,0.588351799476641,0.35,0.8571428571428572,1790,False
Helicopter,640,640,224,224,0.017497435897435902,0.35,0.8571428571428572,238,False
Passenger Vehicle,640,640,224,224,0.022802344180388505,0.35,0.8571428571428572,24,False
Small Car,640,640,224,224,0.0993815431440269,0.35,0.8571428571428572,24,False
Bus,640,640,224,224,0.13255738063366748,0.35,0.8571428571428572,63,False
